"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"64","GSE29272",268,22283,5971844,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.59,0.18,3,0.004,0.907,0.762,0.625,0.9,0.862,0.625,0.725,28,8.84,0.316,0.211
"65","GSE29272",268,22283,5971844,"tSNE [perp=12]","tSNE [perp=12]","tSNE",NA,12,0.55,0.09,1,NA,1.024,0.725,0.7,0.75,0.737,0.7,0.718,1,0.131,0.131,0.127
"66","GSE29272",268,22283,5971844,"DRR","DRR","DRR",NA,NA,0.65,0.29,3,0.003,4.494,0.738,0.6,0.875,0.828,0.6,0.696,53,26.739,0.505,0.306
"67","GSE29272",268,22283,5971844,"smacof_MDS (R)","smacof_MDS (R)","smacof_MDS (R)",NA,NA,0.69,0.38,3,0,0.057,0.662,0.75,0.575,0.638,0.75,0.69,111,84.269,0.759,0.343
"68","GSE29272",268,22283,5971844,"LMDS [k=249] (smacofx R)","LMDS [k=249] (smacofx R)","LMDS (smacofx R)",249,NA,0.63,0.27,1,NA,10.937,0.675,0.65,0.7,0.684,0.65,0.667,114,76.347,0.67,0.243
"69","GSE29272",268,22283,5971844,"kPCA","kPCA","kPCA",NA,NA,0.51,0.01,3,0.002,0.184,0.588,0.65,0.525,0.578,0.65,0.612,12,0.746,0.062,0.017
"70","GSE35988",88,28796,2534048,"HSMDS (Rcpp)","HSMDS (Rcpp)","HSMDS (Rcpp)",NA,NA,0.78,0.55,3,0,5.13,0.88,NA,NA,NA,NA,NA,30,22.75,0.758,0.414
"71","GSE35988",88,28796,2534048,"HSLMDS [k=61] [kQuality=61] (Rcpp)","HSLMDS [k=61] [kQuality=61] (Rcpp)","HSLMDS (Rcpp)",61,NA,0.77,0.54,1,NA,2.332,0.88,NA,NA,NA,NA,NA,17,10.42,0.613,0.418
"72","GSE35988",88,28796,2534048,"LMDS [k=61] [kQuality=64] (Rcpp)","LMDS [k=61] [kQuality=64] (Rcpp)","LMDS (Rcpp)",61,NA,0.77,0.54,1,NA,2.342,0.88,NA,NA,NA,NA,NA,17,10.42,0.613,0.418
"73","GSE35988",88,28796,2534048,"Isomap [k=64]","Isomap [k=64]","Isomap",64,NA,0.76,0.52,1,NA,0.161,0.84,NA,NA,NA,NA,NA,26,17.898,0.688,0.39
"74","GSE35988",88,28796,2534048,"MDS (Rcpp)","MDS (Rcpp)","MDS (Rcpp)",NA,NA,0.76,0.52,3,0,0.459,0.8,NA,NA,NA,NA,NA,22,14.477,0.658,0.405
"75","GSE35988",88,28796,2534048,"tSNE [perp=23]","tSNE [perp=23]","tSNE",NA,23,0.74,0.47,1,NA,0.149,0.88,NA,NA,NA,NA,NA,1,0.5,0.5,0.489
"76","GSE35988",88,28796,2534048,"LMDS [k=78] (smacofx R)","LMDS [k=78] (smacofx R)","LMDS (smacofx R)",78,NA,0.74,0.47,1,NA,0.652,0.96,NA,NA,NA,NA,NA,18,9.784,0.544,0.337
"77","GSE35988",88,28796,2534048,"PPCA","PPCA","PPCA",NA,NA,0.74,0.47,3,0.017,1.024,0.96,NA,NA,NA,NA,NA,18,9.795,0.544,0.337
"78","GSE35988",88,28796,2534048,"smacof_MDS (R)","smacof_MDS (R)","smacof_MDS (R)",NA,NA,0.71,0.41,3,0,0.006,0.76,NA,NA,NA,NA,NA,18,9.352,0.52,0.313
"79","GSE35988",88,28796,2534048,"UMAP [k=46]","UMAP [k=46]","UMAP",46,NA,0.71,0.41,1,NA,0.249,0.88,NA,NA,NA,NA,NA,8,3.523,0.44,0.348
"80","GSE35988",88,28796,2534048,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.7,0.4,3,0,0.491,0.88,NA,NA,NA,NA,NA,30,18.568,0.619,0.274
"81","GSE35988",88,28796,2534048,"DRR","DRR","DRR",NA,NA,0.62,0.23,3,0,3.057,0.8,NA,NA,NA,NA,NA,23,10.227,0.445,0.18
"82","GSE35988",88,28796,2534048,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.21,3,0,0.395,0.84,NA,NA,NA,NA,NA,18,6.568,0.365,0.158
"83","GSE35988",88,28796,2534048,"kPCA","kPCA","kPCA",NA,NA,0.49,-0.03,3,0,0.041,0.68,NA,NA,NA,NA,NA,80,74.557,0.932,0.012
"84","GSE44076",246,49386,12148956,"HSMDS (Rcpp)","HSMDS (Rcpp)","HSMDS (Rcpp)",NA,NA,0.79,0.58,3,0.007,55.174,0.863,NA,NA,NA,NA,NA,77,58.175,0.756,0.441
"85","GSE44076",246,49386,12148956,"Isomap [k=228]","Isomap [k=228]","Isomap",228,NA,0.78,0.56,1,NA,3.354,0.849,NA,NA,NA,NA,NA,69,48.984,0.71,0.428
"86","GSE44076",246,49386,12148956,"HSLMDS [k=187] [kQuality=187] (Rcpp)","HSLMDS [k=187] [kQuality=187] (Rcpp)","HSLMDS (Rcpp)",187,NA,0.78,0.56,1,NA,66.709,0.945,NA,NA,NA,NA,NA,63,44.667,0.709,0.452
"87","GSE44076",246,49386,12148956,"LMDS [k=187] [kQuality=187] (Rcpp)","LMDS [k=187] [kQuality=187] (Rcpp)","LMDS (Rcpp)",187,NA,0.78,0.56,1,NA,66.936,0.945,NA,NA,NA,NA,NA,63,44.667,0.709,0.452
"88","GSE44076",246,49386,12148956,"MDS (Rcpp)","MDS (Rcpp)","MDS (Rcpp)",NA,NA,0.78,0.55,3,0.001,4.445,0.918,NA,NA,NA,NA,NA,53,35.537,0.671,0.454
"89","GSE44076",246,49386,12148956,"PPCA","PPCA","PPCA",NA,NA,0.77,0.53,3,0.2,4.375,0.945,NA,NA,NA,NA,NA,50,30.943,0.619,0.415
"90","GSE44076",246,49386,12148956,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.683,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"91","GSE44076",246,49386,12148956,"UMAP [k=187]","UMAP [k=187]","UMAP",187,NA,0.72,0.43,1,NA,1.408,0.904,NA,NA,NA,NA,NA,40,20.858,0.521,0.358
"92","GSE44076",246,49386,12148956,"smacof_MDS (R)","smacof_MDS (R)","smacof_MDS (R)",NA,NA,0.58,0.16,3,0,0.041,0.452,NA,NA,NA,NA,NA,91,45.744,0.503,0.131
"93","GSE44076",246,49386,12148956,"tSNE [perp=11]","tSNE [perp=11]","tSNE",NA,11,0.58,0.16,1,NA,1.942,0.753,NA,NA,NA,NA,NA,1,0.163,0.163,0.159
"94","GSE44076",246,49386,12148956,"LMDS [k=170] (smacofx R)","LMDS [k=170] (smacofx R)","LMDS (smacofx R)",170,NA,0.58,0.16,1,NA,18.628,0.575,NA,NA,NA,NA,NA,69,29.634,0.429,0.148
"95","GSE44076",246,49386,12148956,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.57,0.13,3,0,2.178,0.63,NA,NA,NA,NA,NA,64,24.39,0.381,0.12
"96","GSE44076",246,49386,12148956,"DRR","DRR","DRR",NA,NA,0.57,0.13,3,0.001,5.283,0.616,NA,NA,NA,NA,NA,71,29.057,0.409,0.119
"97","GSE44076",246,49386,12148956,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0.001,0.345,0.521,NA,NA,NA,NA,NA,89,35.951,0.404,0.041
