"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"71","GSE35988",88,28796,2534048,"HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)","HSMDS (HSLocalMDS)",NA,NA,0.78,0.55,3,0.001,2.004,0.88,NA,NA,NA,NA,NA,30,22.75,0.758,0.414
"72","GSE35988",88,28796,2534048,"LMDS [k=49] [kQuality=46] (HSLocalMDS)","LMDS [k=49] [kQuality=46] (HSLocalMDS)","LMDS (HSLocalMDS)",49,NA,0.77,0.54,1,NA,1.955,0.8,NA,NA,NA,NA,NA,26,18.58,0.715,0.416
"73","GSE35988",88,28796,2534048,"Isomap [k=64]","Isomap [k=64]","Isomap",64,NA,0.76,0.52,1,NA,0.177,0.84,NA,NA,NA,NA,NA,26,17.898,0.688,0.39
"74","GSE35988",88,28796,2534048,"MDS (HSLocalMDS)","MDS (HSLocalMDS)","MDS (HSLocalMDS)",NA,NA,0.76,0.52,3,0,0.357,0.8,NA,NA,NA,NA,NA,22,14.477,0.658,0.405
"75","GSE35988",88,28796,2534048,"tSNE [perp=23]","tSNE [perp=23]","tSNE",NA,23,0.74,0.47,1,NA,0.151,0.88,NA,NA,NA,NA,NA,1,0.5,0.5,0.489
"76","GSE35988",88,28796,2534048,"LMDS [k=64] (smacofx)","LMDS [k=64] (smacofx)","LMDS (smacofx)",64,NA,0.74,0.47,1,NA,0.529,0.96,NA,NA,NA,NA,NA,18,9.784,0.544,0.337
"77","GSE35988",88,28796,2534048,"PPCA","PPCA","PPCA",NA,NA,0.74,0.47,3,0.033,0.748,0.96,NA,NA,NA,NA,NA,18,9.795,0.544,0.337
"78","GSE35988",88,28796,2534048,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.71,0.41,3,0,0.006,0.76,NA,NA,NA,NA,NA,18,9.352,0.52,0.313
"79","GSE35988",88,28796,2534048,"UMAP [k=46]","UMAP [k=46]","UMAP",46,NA,0.71,0.41,1,NA,0.247,0.88,NA,NA,NA,NA,NA,8,3.523,0.44,0.348
"80","GSE35988",88,28796,2534048,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.7,0.4,3,0,0.472,0.88,NA,NA,NA,NA,NA,30,18.568,0.619,0.274
