"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"87","GSE35988",88,28796,2534048,"tSNE [perp=23]","tSNE [perp=23]","tSNE",NA,23,0.74,0.47,1,NA,0.147,0.88,NA,NA,NA,NA,NA,1,0.5,0.5,0.489
"88","GSE35988",88,28796,2534048,"LMDS [k=64] (smacofx)","LMDS [k=64] (smacofx)","LMDS (smacofx)",64,NA,0.74,0.47,1,NA,0.531,0.96,NA,NA,NA,NA,NA,18,9.784,0.544,0.337
"89","GSE35988",88,28796,2534048,"PPCA","PPCA","PPCA",NA,NA,0.74,0.47,3,0.035,0.814,0.96,NA,NA,NA,NA,NA,18,9.795,0.544,0.337
"90","GSE35988",88,28796,2534048,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.71,0.41,3,0,0.006,0.76,NA,NA,NA,NA,NA,18,9.352,0.52,0.313
"91","GSE35988",88,28796,2534048,"UMAP [k=46]","UMAP [k=46]","UMAP",46,NA,0.71,0.41,1,NA,0.26,0.88,NA,NA,NA,NA,NA,8,3.523,0.44,0.348
"92","GSE35988",88,28796,2534048,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.7,0.4,3,0,0.487,0.88,NA,NA,NA,NA,NA,30,18.568,0.619,0.274
"93","GSE35988",88,28796,2534048,"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0,3.074,0.8,NA,NA,NA,NA,NA,27,13.273,0.492,0.181
"94","GSE35988",88,28796,2534048,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.21,3,0,0.399,0.84,NA,NA,NA,NA,NA,18,6.568,0.365,0.158
"95","GSE35988",88,28796,2534048,"kPCA","kPCA","kPCA",NA,NA,0.49,-0.03,3,0,0.04,0.68,NA,NA,NA,NA,NA,80,74.557,0.932,0.012
"96","GSE44076",246,49386,12148956,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.79,0.58,3,0.002,60.774,0.863,NA,NA,NA,NA,NA,77,58.175,0.756,0.441
"97","GSE44076",246,49386,12148956,"HSLMDS [k=187] [kQuality=184] (NLDR)","HSLMDS [k=187] [kQuality=184] (NLDR)","HSLMDS (NLDR)",187,NA,0.79,0.57,1,NA,6.938,0.89,NA,NA,NA,NA,NA,63,45.325,0.719,0.462
"98","GSE44076",246,49386,12148956,"HSLMDS [k=187] (rNLDR)","HSLMDS [k=187] (rNLDR)","HSLMDS (rNLDR)",187,NA,0.79,0.57,1,NA,620.302,0.904,NA,NA,NA,NA,NA,62,44.419,0.716,0.463
"99","GSE44076",246,49386,12148956,"Isomap [k=220]","Isomap [k=220]","Isomap",220,NA,0.78,0.56,1,NA,2.926,0.863,NA,NA,NA,NA,NA,72,53.142,0.738,0.444
"100","GSE44076",246,49386,12148956,"LMDS [k=187] [kQuality=185] (NLDR)","LMDS [k=187] [kQuality=185] (NLDR)","LMDS (NLDR)",187,NA,0.78,0.56,1,NA,11.504,0.932,NA,NA,NA,NA,NA,61,42.752,0.701,0.452
"101","GSE44076",246,49386,12148956,"LMDS [k=178] (rNLDR)","LMDS [k=178] (rNLDR)","LMDS (rNLDR)",178,NA,0.78,0.56,1,NA,207.784,0.945,NA,NA,NA,NA,NA,62,43.248,0.698,0.444
"102","GSE44076",246,49386,12148956,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.78,0.55,3,0.002,5.186,0.918,NA,NA,NA,NA,NA,53,35.537,0.671,0.454
"103","GSE44076",246,49386,12148956,"PPCA","PPCA","PPCA",NA,NA,0.77,0.53,3,0.76,5.55,0.904,NA,NA,NA,NA,NA,50,30.919,0.618,0.414
"104","GSE44076",246,49386,12148956,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.765,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"105","GSE44076",246,49386,12148956,"UMAP [k=187]","UMAP [k=187]","UMAP",187,NA,0.72,0.43,1,NA,1.369,0.904,NA,NA,NA,NA,NA,40,20.858,0.521,0.358
"106","GSE44076",246,49386,12148956,"DRR","DRR","DRR",NA,NA,0.6,0.19,3,0.003,5.354,0.671,NA,NA,NA,NA,NA,70,31.671,0.452,0.167
"107","GSE44076",246,49386,12148956,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.58,0.16,3,0,0.042,0.452,NA,NA,NA,NA,NA,91,45.744,0.503,0.131
"108","GSE44076",246,49386,12148956,"tSNE [perp=11]","tSNE [perp=11]","tSNE",NA,11,0.58,0.16,1,NA,1.987,0.753,NA,NA,NA,NA,NA,1,0.163,0.163,0.159
"109","GSE44076",246,49386,12148956,"LMDS [k=170] (smacofx)","LMDS [k=170] (smacofx)","LMDS (smacofx)",170,NA,0.58,0.16,1,NA,16.597,0.575,NA,NA,NA,NA,NA,69,29.634,0.429,0.148
"110","GSE44076",246,49386,12148956,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.57,0.13,3,0,2.168,0.63,NA,NA,NA,NA,NA,64,24.39,0.381,0.12
"111","GSE44076",246,49386,12148956,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0.001,0.348,0.521,NA,NA,NA,NA,NA,89,35.951,0.404,0.041
