"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"LMDS [k=12] (smacofx)","LMDS [k=12] (smacofx)","LMDS (smacofx)",12,NA,0.74,0.48,1,NA,3.62,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=12] [kQuality=10] (HSLocalMDS)","LMDS [k=12] [kQuality=10] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.897,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=11] (HSLocalMDS)","LMDS [k=12] [kQuality=11] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.939,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=12] (HSLocalMDS)","LMDS [k=12] [kQuality=12] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.934,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=13] (HSLocalMDS)","LMDS [k=12] [kQuality=13] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.982,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=14] (HSLocalMDS)","LMDS [k=12] [kQuality=14] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.997,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=15] (HSLocalMDS)","LMDS [k=12] [kQuality=15] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.839,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=12] [kQuality=9] (HSLocalMDS)","LMDS [k=12] [kQuality=9] (HSLocalMDS)","LMDS (HSLocalMDS)",12,NA,0.74,0.48,1,NA,10.796,0.923,0.923,0.923,0.923,0.923,0.923,18,11.278,0.627,0.424
"LMDS [k=15] (smacofx)","LMDS [k=15] (smacofx)","LMDS (smacofx)",15,NA,0.74,0.48,1,NA,4.347,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=15] [kQuality=12] (HSLocalMDS)","LMDS [k=15] [kQuality=12] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.032,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=15] [kQuality=13] (HSLocalMDS)","LMDS [k=15] [kQuality=13] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,6.989,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=15] [kQuality=14] (HSLocalMDS)","LMDS [k=15] [kQuality=14] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.079,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
"LMDS [k=15] [kQuality=15] (HSLocalMDS)","LMDS [k=15] [kQuality=15] (HSLocalMDS)","LMDS (HSLocalMDS)",15,NA,0.75,0.49,1,NA,7.01,0.962,1,0.923,0.929,1,0.963,18,11.467,0.637,0.435
