"","dataset","n_samples","n_attr","n_values","X","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"66","GSE29272",268,22283,5971844,"HSLMDS [k=249] (rNLDR)","HSLMDS [k=249] (rNLDR)","HSLMDS (rNLDR)",249,NA,0.84,0.68,1,NA,589.358,0.95,0.975,0.925,0.929,0.975,0.951,66,52.496,0.795,0.548
"67","GSE29272",268,22283,5971844,"LMDS [k=249] (rNLDR)","LMDS [k=249] (rNLDR)","LMDS (rNLDR)",249,NA,0.84,0.68,1,NA,867.934,0.95,0.975,0.925,0.929,0.975,0.951,66,52.437,0.794,0.547
"68","GSE29272",268,22283,5971844,"LMDS [k=240] [kQuality=238] (NLDR)","LMDS [k=240] [kQuality=238] (NLDR)","LMDS (NLDR)",240,NA,0.84,0.67,1,NA,10.016,0.95,0.975,0.925,0.929,0.975,0.951,80,67.608,0.845,0.545
"69","GSE29272",268,22283,5971844,"UMAP [k=30]","UMAP [k=30]","UMAP",30,NA,0.79,0.58,1,NA,0.588,0.95,0.95,0.95,0.95,0.95,0.95,62,45.642,0.736,0.504
"70","GSE29272",268,22283,5971844,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.84,0.67,3,0.001,3.1,0.938,0.925,0.95,0.949,0.925,0.937,66,52.265,0.792,0.545
"71","GSE29272",268,22283,5971844,"HSLMDS [k=240] [kQuality=242] (NLDR)","HSLMDS [k=240] [kQuality=242] (NLDR)","HSLMDS (NLDR)",240,NA,0.84,0.67,1,NA,7.986,0.938,0.95,0.925,0.927,0.95,0.938,73,59.847,0.82,0.546
"72","GSE29272",268,22283,5971844,"PPCA","PPCA","PPCA",NA,NA,0.81,0.62,3,0.53,2.356,0.912,0.9,0.925,0.923,0.9,0.911,116,108.224,0.933,0.499
"73","GSE29272",268,22283,5971844,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.81,0.61,3,0.002,3.184,0.9,0.9,0.9,0.9,0.9,0.9,117,109.489,0.936,0.498
"74","GSE29272",268,22283,5971844,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.59,0.18,3,0.004,0.986,0.762,0.625,0.9,0.862,0.625,0.725,28,8.84,0.316,0.211
"75","GSE29272",268,22283,5971844,"tSNE [perp=12]","tSNE [perp=12]","tSNE",NA,12,0.55,0.09,1,NA,0.996,0.725,0.7,0.75,0.737,0.7,0.718,1,0.131,0.131,0.127
"76","GSE29272",268,22283,5971844,"DRR","DRR","DRR",NA,NA,0.64,0.29,3,0.015,4.653,0.713,0.55,0.875,0.815,0.55,0.657,50,24.481,0.49,0.302
"77","GSE29272",268,22283,5971844,"LMDS [k=240] (smacofx)","LMDS [k=240] (smacofx)","LMDS (smacofx)",240,NA,0.63,0.27,1,NA,11.245,0.675,0.65,0.7,0.684,0.65,0.667,114,76.347,0.67,0.243
"78","GSE29272",268,22283,5971844,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.69,0.38,3,0,0.055,0.662,0.75,0.575,0.638,0.75,0.69,111,84.269,0.759,0.343
"79","GSE29272",268,22283,5971844,"kPCA","kPCA","kPCA",NA,NA,0.51,0.01,3,0.002,0.231,0.588,0.65,0.525,0.578,0.65,0.612,12,0.746,0.062,0.017
"80","GSE35988",88,28796,2534048,"LMDS [k=87] [kQuality=86] (NLDR)","LMDS [k=87] [kQuality=86] (NLDR)","LMDS (NLDR)",87,NA,0.75,0.49,1,NA,0.417,0.96,NA,NA,NA,NA,NA,18,10.568,0.587,0.38
"81","GSE35988",88,28796,2534048,"Isomap [k=87]","Isomap [k=87]","Isomap",87,NA,0.74,0.47,1,NA,0.169,0.96,NA,NA,NA,NA,NA,18,9.784,0.544,0.337
"82","GSE35988",88,28796,2534048,"LMDS [k=64] (smacofx)","LMDS [k=64] (smacofx)","LMDS (smacofx)",64,NA,0.74,0.47,1,NA,0.531,0.96,NA,NA,NA,NA,NA,18,9.784,0.544,0.337
"83","GSE35988",88,28796,2534048,"PPCA","PPCA","PPCA",NA,NA,0.74,0.47,3,0.035,0.814,0.96,NA,NA,NA,NA,NA,18,9.795,0.544,0.337
"84","GSE35988",88,28796,2534048,"UMAP [k=9]","UMAP [k=9]","UMAP",9,NA,0.69,0.38,1,NA,0.124,0.96,NA,NA,NA,NA,NA,9,4.17,0.463,0.36
"85","GSE35988",88,28796,2534048,"LMDS [k=87] (rNLDR)","LMDS [k=87] (rNLDR)","LMDS (rNLDR)",87,NA,0.77,0.53,1,NA,19.491,0.92,NA,NA,NA,NA,NA,24,16.523,0.688,0.413
"86","GSE35988",88,28796,2534048,"HSLMDS [k=87] (rNLDR)","HSLMDS [k=87] (rNLDR)","HSLMDS (rNLDR)",87,NA,0.77,0.53,1,NA,62.968,0.92,NA,NA,NA,NA,NA,24,16.523,0.688,0.413
"87","GSE35988",88,28796,2534048,"HSLMDS [k=61] [kQuality=61] (NLDR)","HSLMDS [k=61] [kQuality=61] (NLDR)","HSLMDS (NLDR)",61,NA,0.72,0.44,1,NA,1.272,0.92,NA,NA,NA,NA,NA,18,9.659,0.537,0.33
"88","GSE35988",88,28796,2534048,"tSNE [perp=26]","tSNE [perp=26]","tSNE",NA,26,0.72,0.43,1,NA,0.148,0.92,NA,NA,NA,NA,NA,1,0.568,0.568,0.557
"89","GSE35988",88,28796,2534048,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.78,0.55,3,0,5.011,0.88,NA,NA,NA,NA,NA,30,22.75,0.758,0.414
"90","GSE35988",88,28796,2534048,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.7,0.4,3,0,0.487,0.88,NA,NA,NA,NA,NA,30,18.568,0.619,0.274
"91","GSE35988",88,28796,2534048,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.61,0.21,3,0,0.399,0.84,NA,NA,NA,NA,NA,18,6.568,0.365,0.158
"92","GSE35988",88,28796,2534048,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.76,0.52,3,0,0.454,0.8,NA,NA,NA,NA,NA,22,14.477,0.658,0.405
"93","GSE35988",88,28796,2534048,"DRR","DRR","DRR",NA,NA,0.62,0.24,3,0,3.074,0.8,NA,NA,NA,NA,NA,27,13.273,0.492,0.181
"94","GSE35988",88,28796,2534048,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.71,0.41,3,0,0.006,0.76,NA,NA,NA,NA,NA,18,9.352,0.52,0.313
"95","GSE35988",88,28796,2534048,"kPCA","kPCA","kPCA",NA,NA,0.49,-0.03,3,0,0.04,0.68,NA,NA,NA,NA,NA,80,74.557,0.932,0.012
"96","GSE44076",246,49386,12148956,"HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS [k=11] [kQuality=14] (NLDR)","HSLMDS (NLDR)",11,NA,0.73,0.45,1,NA,4.711,1,NA,NA,NA,NA,NA,40,22.289,0.557,0.394
"97","GSE44076",246,49386,12148956,"LMDS [k=11] [kQuality=12] (NLDR)","LMDS [k=11] [kQuality=12] (NLDR)","LMDS (NLDR)",11,NA,0.73,0.45,1,NA,5.155,1,NA,NA,NA,NA,NA,40,22.285,0.557,0.394
"98","GSE44076",246,49386,12148956,"LMDS [k=11] (rNLDR)","LMDS [k=11] (rNLDR)","LMDS (rNLDR)",11,NA,0.72,0.45,1,NA,241.634,1,NA,NA,NA,NA,NA,43,24.524,0.57,0.395
"99","GSE44076",246,49386,12148956,"HSLMDS [k=11] (rNLDR)","HSLMDS [k=11] (rNLDR)","HSLMDS (rNLDR)",11,NA,0.72,0.45,1,NA,526.089,1,NA,NA,NA,NA,NA,43,24.512,0.57,0.395
"100","GSE44076",246,49386,12148956,"Isomap [k=45]","Isomap [k=45]","Isomap",45,NA,0.75,0.49,1,NA,2.766,0.986,NA,NA,NA,NA,NA,60,39.382,0.656,0.411
"101","GSE44076",246,49386,12148956,"DiffusionMaps","DiffusionMaps","DiffusionMaps",NA,NA,0.77,0.53,3,0,6.765,0.945,NA,NA,NA,NA,NA,56,35.724,0.638,0.409
"102","GSE44076",246,49386,12148956,"UMAP [k=170]","UMAP [k=170]","UMAP",170,NA,0.7,0.39,1,NA,1.303,0.945,NA,NA,NA,NA,NA,45,24.557,0.546,0.362
"103","GSE44076",246,49386,12148956,"MDS (NLDR)","MDS (NLDR)","MDS (NLDR)",NA,NA,0.78,0.55,3,0.002,5.186,0.918,NA,NA,NA,NA,NA,53,35.537,0.671,0.454
"104","GSE44076",246,49386,12148956,"PPCA","PPCA","PPCA",NA,NA,0.77,0.53,3,0.76,5.55,0.904,NA,NA,NA,NA,NA,50,30.919,0.618,0.414
"105","GSE44076",246,49386,12148956,"HSMDS (NLDR)","HSMDS (NLDR)","HSMDS (NLDR)",NA,NA,0.79,0.58,3,0.002,60.774,0.863,NA,NA,NA,NA,NA,77,58.175,0.756,0.441
"106","GSE44076",246,49386,12148956,"tSNE [perp=11]","tSNE [perp=11]","tSNE",NA,11,0.58,0.16,1,NA,1.987,0.753,NA,NA,NA,NA,NA,1,0.163,0.163,0.159
"107","GSE44076",246,49386,12148956,"DRR","DRR","DRR",NA,NA,0.6,0.19,3,0.003,5.354,0.671,NA,NA,NA,NA,NA,70,31.671,0.452,0.167
"108","GSE44076",246,49386,12148956,"PCA_SVD","PCA_SVD","PCA_SVD",NA,NA,0.57,0.13,3,0,2.168,0.63,NA,NA,NA,NA,NA,64,24.39,0.381,0.12
"109","GSE44076",246,49386,12148956,"LMDS [k=170] (smacofx)","LMDS [k=170] (smacofx)","LMDS (smacofx)",170,NA,0.58,0.16,1,NA,16.597,0.575,NA,NA,NA,NA,NA,69,29.634,0.429,0.148
"110","GSE44076",246,49386,12148956,"kPCA","kPCA","kPCA",NA,NA,0.53,0.05,3,0.001,0.348,0.521,NA,NA,NA,NA,NA,89,35.951,0.404,0.041
"111","GSE44076",246,49386,12148956,"MDS (smacof)","MDS (smacof)","MDS (smacof)",NA,NA,0.58,0.16,3,0,0.042,0.452,NA,NA,NA,NA,NA,91,45.744,0.503,0.131
