"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"HSLMDS [k=30] (rNLDR)","HSLMDS [k=30] (rNLDR)","HSLMDS (rNLDR)",30,NA,0.74,0.48,1,NA,634.565,0.7,0.8,0.6,0.667,0.8,0.727,52,40.313,0.775,0.581
"HSLMDS [k=30] [kQuality=27] (NLDR)","HSLMDS [k=30] [kQuality=27] (NLDR)","HSLMDS (NLDR)",30,NA,0.69,0.38,1,NA,9.615,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=30] [kQuality=28] (NLDR)","HSLMDS [k=30] [kQuality=28] (NLDR)","HSLMDS (NLDR)",30,NA,0.69,0.38,1,NA,9.73,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=30] [kQuality=29] (NLDR)","HSLMDS [k=30] [kQuality=29] (NLDR)","HSLMDS (NLDR)",30,NA,0.74,0.48,1,NA,9.689,0.713,0.45,0.975,0.947,0.45,0.61,16,13.015,0.813,0.754
"HSLMDS [k=30] [kQuality=30] (NLDR)","HSLMDS [k=30] [kQuality=30] (NLDR)","HSLMDS (NLDR)",30,NA,0.74,0.48,1,NA,9.622,0.713,0.45,0.975,0.947,0.45,0.61,16,13.015,0.813,0.754
"HSLMDS [k=30] [kQuality=31] (NLDR)","HSLMDS [k=30] [kQuality=31] (NLDR)","HSLMDS (NLDR)",30,NA,0.74,0.48,1,NA,9.582,0.713,0.45,0.975,0.947,0.45,0.61,16,13.015,0.813,0.754
"HSLMDS [k=30] [kQuality=32] (NLDR)","HSLMDS [k=30] [kQuality=32] (NLDR)","HSLMDS (NLDR)",30,NA,0.74,0.48,1,NA,9.692,0.713,0.45,0.975,0.947,0.45,0.61,16,13.015,0.813,0.754
"HSLMDS [k=30] [kQuality=33] (NLDR)","HSLMDS [k=30] [kQuality=33] (NLDR)","HSLMDS (NLDR)",30,NA,0.74,0.48,1,NA,9.67,0.713,0.45,0.975,0.947,0.45,0.61,16,13.015,0.813,0.754
"HSLMDS [k=39] (rNLDR)","HSLMDS [k=39] (rNLDR)","HSLMDS (rNLDR)",39,NA,0.74,0.48,1,NA,527.724,0.688,0.675,0.7,0.692,0.675,0.684,123,115.522,0.939,0.479
"HSLMDS [k=39] [kQuality=36] (NLDR)","HSLMDS [k=39] [kQuality=36] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.602,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=37] (NLDR)","HSLMDS [k=39] [kQuality=37] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.623,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=38] (NLDR)","HSLMDS [k=39] [kQuality=38] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.553,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=39] (NLDR)","HSLMDS [k=39] [kQuality=39] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.561,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=40] (NLDR)","HSLMDS [k=39] [kQuality=40] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.587,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=41] (NLDR)","HSLMDS [k=39] [kQuality=41] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.546,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=39] [kQuality=42] (NLDR)","HSLMDS [k=39] [kQuality=42] (NLDR)","HSLMDS (NLDR)",39,NA,0.69,0.38,1,NA,9.614,0.462,0.2,0.725,0.421,0.2,0.271,1,0.996,0.996,0.993
"HSLMDS [k=49] (rNLDR)","HSLMDS [k=49] (rNLDR)","HSLMDS (rNLDR)",49,NA,0.72,0.45,1,NA,3104.442,0.7,0.75,0.65,0.682,0.75,0.714,123,115.743,0.941,0.48
"HSLMDS [k=49] [kQuality=46] (NLDR)","HSLMDS [k=49] [kQuality=46] (NLDR)","HSLMDS (NLDR)",49,NA,0.73,0.45,1,NA,46.255,0.688,0.8,0.575,0.653,0.8,0.719,123,115.123,0.936,0.475
"HSLMDS [k=49] [kQuality=47] (NLDR)","HSLMDS [k=49] [kQuality=47] (NLDR)","HSLMDS (NLDR)",49,NA,0.73,0.45,1,NA,46.257,0.688,0.8,0.575,0.653,0.8,0.719,123,115.123,0.936,0.475
"HSLMDS [k=49] [kQuality=48] (NLDR)","HSLMDS [k=49] [kQuality=48] (NLDR)","HSLMDS (NLDR)",49,NA,0.73,0.45,1,NA,46.24,0.688,0.8,0.575,0.653,0.8,0.719,123,115.123,0.936,0.475
"HSLMDS [k=49] [kQuality=49] (NLDR)","HSLMDS [k=49] [kQuality=49] (NLDR)","HSLMDS (NLDR)",49,NA,0.69,0.37,1,NA,9.659,0.462,0.2,0.725,0.421,0.2,0.271,1,0.97,0.97,0.966
"HSLMDS [k=49] [kQuality=50] (NLDR)","HSLMDS [k=49] [kQuality=50] (NLDR)","HSLMDS (NLDR)",49,NA,0.69,0.37,1,NA,9.673,0.462,0.2,0.725,0.421,0.2,0.271,1,0.97,0.97,0.966
"HSLMDS [k=49] [kQuality=51] (NLDR)","HSLMDS [k=49] [kQuality=51] (NLDR)","HSLMDS (NLDR)",49,NA,0.69,0.37,1,NA,9.598,0.462,0.2,0.725,0.421,0.2,0.271,1,0.97,0.97,0.966
"HSLMDS [k=49] [kQuality=52] (NLDR)","HSLMDS [k=49] [kQuality=52] (NLDR)","HSLMDS (NLDR)",49,NA,0.69,0.37,1,NA,9.644,0.462,0.2,0.725,0.421,0.2,0.271,1,0.97,0.97,0.966
"HSLMDS [k=58] (rNLDR)","HSLMDS [k=58] (rNLDR)","HSLMDS (rNLDR)",58,NA,0.77,0.53,1,NA,581.575,0.725,0.65,0.8,0.765,0.65,0.703,123,117.918,0.959,0.498
"HSLMDS [k=58] [kQuality=55] (NLDR)","HSLMDS [k=58] [kQuality=55] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.231,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=56] (NLDR)","HSLMDS [k=58] [kQuality=56] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.248,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=57] (NLDR)","HSLMDS [k=58] [kQuality=57] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.237,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=58] (NLDR)","HSLMDS [k=58] [kQuality=58] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.206,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=59] (NLDR)","HSLMDS [k=58] [kQuality=59] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.172,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=60] (NLDR)","HSLMDS [k=58] [kQuality=60] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.228,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=58] [kQuality=61] (NLDR)","HSLMDS [k=58] [kQuality=61] (NLDR)","HSLMDS (NLDR)",58,NA,0.72,0.44,1,NA,46.253,0.625,0.65,0.6,0.619,0.65,0.634,123,115.731,0.941,0.48
"HSLMDS [k=67] (rNLDR)","HSLMDS [k=67] (rNLDR)","HSLMDS (rNLDR)",67,NA,0.72,0.44,1,NA,3145.757,0.6,0.825,0.375,0.569,0.825,0.673,123,115.836,0.942,0.481
"HSLMDS [k=67] [kQuality=64] (NLDR)","HSLMDS [k=67] [kQuality=64] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.209,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=65] (NLDR)","HSLMDS [k=67] [kQuality=65] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.192,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=66] (NLDR)","HSLMDS [k=67] [kQuality=66] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.199,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=67] (NLDR)","HSLMDS [k=67] [kQuality=67] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.239,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=68] (NLDR)","HSLMDS [k=67] [kQuality=68] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.18,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=69] (NLDR)","HSLMDS [k=67] [kQuality=69] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.178,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=67] [kQuality=70] (NLDR)","HSLMDS [k=67] [kQuality=70] (NLDR)","HSLMDS (NLDR)",67,NA,0.73,0.46,1,NA,46.161,0.6,0.575,0.625,0.605,0.575,0.59,123,115.504,0.939,0.478
"HSLMDS [k=76] (rNLDR)","HSLMDS [k=76] (rNLDR)","HSLMDS (rNLDR)",76,NA,0.7,0.4,1,NA,520.266,0.5,0.45,0.55,0.5,0.45,0.474,123,113.604,0.924,0.463
"HSLMDS [k=76] [kQuality=73] (NLDR)","HSLMDS [k=76] [kQuality=73] (NLDR)","HSLMDS (NLDR)",76,NA,0.69,0.38,1,NA,8.931,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=76] [kQuality=74] (NLDR)","HSLMDS [k=76] [kQuality=74] (NLDR)","HSLMDS (NLDR)",76,NA,0.69,0.38,1,NA,8.918,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
"HSLMDS [k=76] [kQuality=75] (NLDR)","HSLMDS [k=76] [kQuality=75] (NLDR)","HSLMDS (NLDR)",76,NA,0.69,0.38,1,NA,8.954,0.462,0.2,0.725,0.421,0.2,0.271,1,1,1,0.996
